Version, Version Name, Name, Age, Revisions, Bugfix, LOCs, LOCs Touched, LOCs Added, Churn, Avg. Churn, Authors Number, Average Change Set, Buggy
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java,0,2,2,232,257,255,232,116.0,1,20.5,false
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,0,1,1,174,193,193,174,174.0,1,36.0,true
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,0,1,1,477,514,514,477,477.0,1,36.0,true
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java,0,1,1,174,204,204,174,174.0,1,36.0,false
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java,0,1,1,130,144,144,130,130.0,1,36.0,true
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java,0,1,1,89,98,98,89,89.0,1,36.0,false
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,0,7,4,157,225,203,161,23.0,3,66.85714285714286,true
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,0,4,2,136,170,162,136,34.0,3,81.75,true
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,0,11,7,354,585,489,364,33.09090909090909,3,47.09090909090909,true
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java,0,3,2,114,146,139,114,38.0,3,109.0,false
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,0,8,5,468,579,556,472,59.0,3,59.625,false
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,0,9,6,507,763,683,509,56.55555555555556,3,53.22222222222222,true
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java,0,1,0,121,148,148,121,121.0,1,119.0,false
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java,0,3,2,164,194,184,164,54.666666666666664,2,129.66666666666666,false
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java,0,3,2,137,168,158,137,45.666666666666664,2,129.66666666666666,false
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,0,6,5,83,1576,834,1371,228.5,3,70.66666666666667,false
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,0,6,3,207,642,438,207,34.5,3,80.0,true
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java,0,3,2,47,64,59,47,15.666666666666666,3,109.0,false
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java,0,2,1,30,48,43,30,15.0,2,145.5,false
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,0,2,1,83,106,102,83,41.5,2,145.5,false
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java,0,3,2,32,59,49,32,10.666666666666666,2,129.66666666666666,false
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java,0,3,2,59,127,98,103,34.333333333333336,2,109.0,false
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java,0,1,1,83,94,94,83,83.0,1,36.0,true
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java,0,1,1,64,72,72,64,64.0,1,31.0,false
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java,0,1,1,39,42,42,39,39.0,1,31.0,false
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java,0,3,2,44,64,56,44,14.666666666666666,2,161.66666666666666,false
