Version, Version Name, Path, LOCs, LOCs Touched, Churn, Age, Number of Revisions, Authors Number, Bugfix
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java,44,132,44,1,3,2,0
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java,58,174,58,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java,222,666,222,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java,113,339,113,1,3,2,0
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java,115,345,115,1,4,2,0
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java,153,457,153,1,3,2,0
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java,41,123,41,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java,101,303,101,1,5,3,0
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java,129,385,129,1,3,2,0
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java,53,159,53,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java,140,420,140,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java,64,192,64,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java,32,32,32,1,1,1,0
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java,33,99,33,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java,34,102,34,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java,82,246,82,1,4,2,0
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java,77,229,77,1,3,2,0
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java,64,192,64,1,4,2,0
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java,102,306,102,1,4,2,0
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java,315,943,315,1,6,3,0
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java,76,228,76,1,4,2,0
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java,49,147,49,1,3,2,0
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java,112,336,112,1,4,2,0
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClient.java,325,973,325,1,3,1,0
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java,211,633,211,1,5,2,0
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java,541,1623,541,1,4,2,0
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java,333,999,333,1,5,2,0
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java,88,264,88,1,4,2,0
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java,35,35,35,1,1,1,0
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java,54,160,54,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java,47,125,47,1,3,3,0
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java,42,126,42,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java,156,472,160,1,4,3,0
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java,43,43,43,1,1,1,0
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/Either.java,41,41,41,1,1,1,0
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java,78,232,78,1,2,2,0
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java,120,120,120,1,1,1,0
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/Option.java,35,35,35,1,1,1,0
